date,channel,campaign,spend,impressions,clicks,leads,closed_deals
2026-06-11,Meta Ads,FB - Retargeting,407.02,11041,193,7,1
2026-06-11,Email,Monthly Newsletter,14.42,3764,437,34,4
2026-06-11,Email,Promo Blast,14.66,3411,415,22,2
2026-06-11,Organic Social,LinkedIn Organic,0.0,21676,616,10,1
2026-06-11,Organic Social,FB Organic,0.0,4212,124,3,0
2026-06-11,LinkedIn Ads,Sponsored Content,658.01,19506,147,4,1
2026-06-11,LinkedIn Ads,InMail Campaign,456.66,15055,119,6,1
2026-06-12,Google Ads,Search - Brand,513.95,12812,572,28,4
2026-06-12,Google Ads,Search - Competitor,615.96,13980,818,10,2
2026-06-12,Google Ads,Display - Retargeting,786.91,6706,281,14,1
2026-06-12,Meta Ads,FB - Lead Gen,375.92,10557,256,13,3
2026-06-12,Meta Ads,IG - Awareness,550.86,10483,168,7,0
2026-06-12,Meta Ads,FB - Retargeting,549.85,14038,233,11,2
2026-06-12,Email,Monthly Newsletter,22.74,3579,336,35,7
2026-06-12,Email,Promo Blast,23.07,3163,284,32,5
2026-06-12,Organic Social,LinkedIn Organic,0.0,19196,494,8,0
2026-06-12,Organic Social,FB Organic,0.0,9878,400,4,1
2026-06-12,LinkedIn Ads,Sponsored Content,473.74,14613,104,5,0
2026-06-12,LinkedIn Ads,InMail Campaign,574.12,15456,127,5,0
2026-06-13,Google Ads,Search - Brand,646.17,8159,268,19,3
2026-06-13,Google Ads,Search - Competitor,572.4,15073,725,36,5
2026-06-13,Google Ads,Display - Retargeting,629.38,11086,539,15,3
2026-06-13,Meta Ads,FB - Lead Gen,521.8,16024,345,20,4
2026-06-13,Meta Ads,IG - Awareness,251.9,9881,155,6,1
2026-06-13,Meta Ads,FB - Retargeting,382.0,15747,240,7,0
2026-06-13,Email,Monthly Newsletter,19.23,2324,224,26,3
2026-06-13,Email,Promo Blast,41.45,3246,403,26,5
2026-06-13,Organic Social,LinkedIn Organic,0.0,15488,702,20,4
2026-06-13,Organic Social,FB Organic,0.0,14860,603,14,3
2026-06-13,LinkedIn Ads,Sponsored Content,529.62,12750,114,7,1
2026-06-13,LinkedIn Ads,InMail Campaign,273.35,12091,91,4,0
2026-06-14,Google Ads,Search - Brand,626.66,9658,467,33,6
2026-06-14,Google Ads,Search - Competitor,762.12,18335,900,52,5
2026-06-14,Google Ads,Display - Retargeting,664.44,15830,751,27,3
2026-06-14,Meta Ads,FB - Lead Gen,589.53,14841,303,12,2
2026-06-14,Meta Ads,IG - Awareness,576.13,12935,237,8,1
2026-06-14,Meta Ads,FB - Retargeting,430.6,15888,258,14,1
2026-06-14,Email,Monthly Newsletter,23.83,2780,430,40,9
2026-06-14,Email,Promo Blast,15.72,3133,442,40,9
2026-06-14,Organic Social,LinkedIn Organic,0.0,20637,903,24,3
2026-06-14,Organic Social,FB Organic,0.0,21318,572,14,2
2026-06-14,LinkedIn Ads,Sponsored Content,298.75,11325,72,2,0
2026-06-14,LinkedIn Ads,InMail Campaign,476.35,21202,135,8,1
2026-06-15,Google Ads,Search - Brand,592.58,17699,617,41,7
2026-06-15,Google Ads,Search - Competitor,673.87,16156,1084,52,7
2026-06-15,Google Ads,Display - Retargeting,506.53,12778,501,40,10
2026-06-15,Meta Ads,FB - Lead Gen,400.08,11670,229,7,1
2026-06-15,Meta Ads,IG - Awareness,490.34,8937,210,12,1
2026-06-15,Meta Ads,FB - Retargeting,421.43,16143,310,14,3
2026-06-15,Email,Monthly Newsletter,23.89,2600,225,15,2
2026-06-15,Email,Promo Blast,36.22,2741,343,30,7
2026-06-15,Organic Social,LinkedIn Organic,0.0,12876,348,13,2
2026-06-15,Organic Social,FB Organic,0.0,17335,482,17,4
2026-06-15,LinkedIn Ads,Sponsored Content,542.3,17029,165,11,2
2026-06-15,LinkedIn Ads,InMail Campaign,522.98,14331,118,8,1
2026-06-16,Google Ads,Search - Brand,655.3,13426,607,50,9
2026-06-16,Google Ads,Search - Competitor,606.97,9560,494,35,10
2026-06-16,Google Ads,Display - Retargeting,553.83,15876,750,66,11
2026-06-16,Meta Ads,FB - Lead Gen,499.22,17431,325,11,2
2026-06-16,Meta Ads,IG - Awareness,591.92,10893,201,6,1
2026-06-16,Meta Ads,FB - Retargeting,288.96,12764,247,14,2
2026-06-16,Email,Monthly Newsletter,21.53,3940,335,10,2
2026-06-16,Email,Promo Blast,21.86,2489,340,32,4
2026-06-16,Organic Social,LinkedIn Organic,0.0,18489,626,18,4
2026-06-16,Organic Social,FB Organic,0.0,8897,229,6,1
2026-06-16,LinkedIn Ads,Sponsored Content,422.86,16408,98,7,1
2026-06-16,LinkedIn Ads,InMail Campaign,575.7,16370,142,8,1
2026-06-17,Google Ads,Search - Brand,696.41,20316,950,69,12
2026-06-17,Google Ads,Search - Competitor,816.02,12294,752,44,4
2026-06-17,Google Ads,Display - Retargeting,619.22,12275,645,31,4
2026-06-17,Meta Ads,FB - Lead Gen,246.22,13190,122,2,0
2026-06-17,Meta Ads,IG - Awareness,558.34,16701,242,9,1
2026-06-17,Meta Ads,FB - Retargeting,331.52,21013,444,16,2
2026-06-17,Email,Monthly Newsletter,26.3,1979,225,16,2
2026-06-17,Email,Promo Blast,23.24,3898,527,39,8
2026-06-17,Organic Social,LinkedIn Organic,0.0,18698,567,13,2
2026-06-17,Organic Social,FB Organic,0.0,18580,628,24,3
2026-06-17,LinkedIn Ads,Sponsored Content,598.21,15790,178,7,1
2026-06-17,LinkedIn Ads,InMail Campaign,472.26,12394,89,4,0
2026-06-18,Google Ads,Search - Brand,678.43,12705,568,55,14
2026-06-18,Google Ads,Search - Competitor,665.45,15152,698,49,6
2026-06-18,Google Ads,Display - Retargeting,561.39,8325,404,28,4
2026-06-18,Meta Ads,FB - Lead Gen,650.3,10096,128,5,1
2026-06-18,Meta Ads,IG - Awareness,663.12,13164,288,11,1
2026-06-18,Meta Ads,FB - Retargeting,569.76,17609,217,12,2
2026-06-18,Email,Monthly Newsletter,21.09,3197,421,40,6
2026-06-18,Email,Promo Blast,20.8,2987,442,46,7
2026-06-18,Organic Social,LinkedIn Organic,0.0,3605,132,1,0
2026-06-18,Organic Social,FB Organic,0.0,9821,363,9,1
2026-06-18,LinkedIn Ads,Sponsored Content,444.72,16908,137,4,0
2026-06-18,LinkedIn Ads,InMail Campaign,394.45,8773,64,4,0
2026-06-19,Google Ads,Search - Brand,547.7,13602,572,55,10
2026-06-19,Google Ads,Search - Competitor,664.51,19121,901,49,8
2026-06-19,Google Ads,Display - Retargeting,589.26,14851,765,46,9
2026-06-19,Meta Ads,FB - Lead Gen,457.25,15314,165,8,1
2026-06-19,Meta Ads,IG - Awareness,583.1,3414,87,3,0
2026-06-19,Meta Ads,FB - Retargeting,345.34,17451,247,8,2
2026-06-19,Email,Monthly Newsletter,23.81,3108,437,45,8
2026-06-19,Email,Promo Blast,27.28,4201,498,47,10
2026-06-19,Organic Social,LinkedIn Organic,0.0,19748,668,13,3
2026-06-19,Organic Social,FB Organic,0.0,16210,412,12,2
2026-06-19,LinkedIn Ads,Sponsored Content,486.15,16687,176,9,1
2026-06-19,LinkedIn Ads,InMail Campaign,558.46,19757,119,7,1
2026-06-20,Google Ads,Search - Brand,555.37,20502,894,55,9
2026-06-20,Google Ads,Search - Competitor,602.34,10614,340,30,4
2026-06-20,Google Ads,Display - Retargeting,451.29,6386,250,9,2
2026-06-20,Meta Ads,FB - Lead Gen,584.48,12247,319,16,2
2026-06-20,Meta Ads,IG - Awareness,175.07,24163,314,6,1
2026-06-20,Meta Ads,FB - Retargeting,751.3,20537,411,19,4
2026-06-20,Email,Monthly Newsletter,29.74,3140,384,33,4
2026-06-20,Email,Promo Blast,23.25,2153,253,16,1
2026-06-20,Organic Social,LinkedIn Organic,0.0,20568,730,11,1
2026-06-20,Organic Social,FB Organic,0.0,11070,317,11,1
2026-06-20,LinkedIn Ads,Sponsored Content,461.85,9663,68,3,0
2026-06-20,LinkedIn Ads,InMail Campaign,499.55,14921,132,7,1
2026-06-21,Google Ads,Search - Brand,618.78,13282,612,42,7
2026-06-21,Google Ads,Search - Competitor,606.09,12192,475,16,4
2026-06-21,Google Ads,Display - Retargeting,413.42,12228,471,35,5
2026-06-21,Meta Ads,FB - Lead Gen,612.24,12306,233,6,1
2026-06-21,Meta Ads,IG - Awareness,328.11,16239,329,14,2
2026-06-21,Meta Ads,FB - Retargeting,451.52,15175,265,13,3
2026-06-21,Email,Monthly Newsletter,21.52,2315,272,43,6
2026-06-21,Email,Promo Blast,35.24,3838,409,43,11
2026-06-21,Organic Social,LinkedIn Organic,0.0,14185,376,7,1
2026-06-21,Organic Social,FB Organic,0.0,15136,384,12,1
2026-06-21,LinkedIn Ads,Sponsored Content,487.22,18334,88,4,0
2026-06-21,LinkedIn Ads,InMail Campaign,313.92,21690,188,7,1
2026-06-22,Google Ads,Search - Brand,683.75,15304,762,33,6
2026-06-22,Google Ads,Search - Competitor,387.94,14555,536,25,6
2026-06-22,Google Ads,Display - Retargeting,763.7,17436,613,33,7
2026-06-22,Meta Ads,FB - Lead Gen,483.2,24277,471,19,3
2026-06-22,Meta Ads,IG - Awareness,482.25,14390,295,15,2
2026-06-22,Meta Ads,FB - Retargeting,311.36,7655,151,4,0
2026-06-22,Email,Monthly Newsletter,27.43,4246,508,57,10
2026-06-22,Email,Promo Blast,24.38,3459,390,37,7
2026-06-22,Organic Social,LinkedIn Organic,0.0,18968,549,12,2
2026-06-22,Organic Social,FB Organic,0.0,15112,452,17,3
2026-06-22,LinkedIn Ads,Sponsored Content,447.18,18271,186,10,1
2026-06-22,LinkedIn Ads,InMail Campaign,302.42,10739,80,3,0
2026-06-23,Google Ads,Search - Brand,608.5,17118,759,52,9
2026-06-23,Google Ads,Search - Competitor,303.68,11242,491,18,3
2026-06-23,Google Ads,Display - Retargeting,829.61,19875,856,74,13
2026-06-23,Meta Ads,FB - Lead Gen,427.34,12546,212,7,1
2026-06-23,Meta Ads,IG - Awareness,485.4,15012,293,15,3
2026-06-23,Meta Ads,FB - Retargeting,293.43,4784,102,2,0
2026-06-23,Email,Monthly Newsletter,17.69,2099,279,30,4
2026-06-23,Email,Promo Blast,8.81,2726,352,17,3
2026-06-23,Organic Social,LinkedIn Organic,0.0,17317,531,11,2
2026-06-23,Organic Social,FB Organic,0.0,14890,363,9,1
2026-06-23,LinkedIn Ads,Sponsored Content,430.54,21846,126,3,0
2026-06-23,LinkedIn Ads,InMail Campaign,426.45,12323,119,4,1
2026-06-24,Google Ads,Search - Brand,701.69,13048,840,41,8
2026-06-24,Google Ads,Search - Competitor,644.89,20206,1193,72,10
2026-06-24,Google Ads,Display - Retargeting,669.0,12289,775,48,7
2026-06-24,Meta Ads,FB - Lead Gen,488.21,9611,139,7,1
2026-06-24,Meta Ads,IG - Awareness,344.53,17146,381,18,4
2026-06-24,Meta Ads,FB - Retargeting,378.37,9312,217,7,1
2026-06-24,Email,Monthly Newsletter,33.3,3278,429,63,9
2026-06-24,Email,Promo Blast,30.8,3028,382,50,10
2026-06-24,Organic Social,LinkedIn Organic,0.0,19290,536,12,1
2026-06-24,Organic Social,FB Organic,0.0,23224,542,15,2
2026-06-24,LinkedIn Ads,Sponsored Content,484.58,18262,171,7,1
2026-06-24,LinkedIn Ads,InMail Campaign,481.79,14005,148,8,1
2026-06-25,Google Ads,Search - Brand,699.43,19693,918,33,6
2026-06-25,Google Ads,Search - Competitor,502.3,12885,647,53,9
2026-06-25,Google Ads,Display - Retargeting,646.32,21808,1028,109,22
2026-06-25,Meta Ads,FB - Lead Gen,261.24,18013,348,19,4
2026-06-25,Meta Ads,IG - Awareness,450.51,10102,174,5,0
2026-06-25,Meta Ads,FB - Retargeting,535.33,21679,421,10,2
2026-06-25,Email,Monthly Newsletter,32.48,2695,314,28,3
2026-06-25,Email,Promo Blast,29.05,2939,382,25,3
2026-06-25,Organic Social,LinkedIn Organic,0.0,13508,545,14,2
2026-06-25,Organic Social,FB Organic,0.0,9326,181,2,0
2026-06-25,LinkedIn Ads,Sponsored Content,387.92,25232,179,9,2
2026-06-25,LinkedIn Ads,InMail Campaign,675.69,23246,230,15,3
2026-06-26,Google Ads,Search - Brand,716.75,12795,481,28,4
2026-06-26,Google Ads,Search - Competitor,532.02,17785,953,58,14
2026-06-26,Google Ads,Display - Retargeting,428.75,14225,548,14,2
2026-06-26,Meta Ads,FB - Lead Gen,452.46,21053,426,11,2
2026-06-26,Meta Ads,IG - Awareness,609.12,17328,297,8,1
2026-06-26,Meta Ads,FB - Retargeting,593.69,22538,530,18,2
2026-06-26,Email,Monthly Newsletter,25.88,2115,270,23,3
2026-06-26,Email,Promo Blast,15.03,3256,349,20,1
2026-06-26,Organic Social,LinkedIn Organic,0.0,22089,882,22,3
2026-06-26,Organic Social,FB Organic,0.0,11006,350,12,2
2026-06-26,LinkedIn Ads,Sponsored Content,438.73,14185,93,3,0
2026-06-26,LinkedIn Ads,InMail Campaign,491.33,18654,125,9,1
2026-06-27,Google Ads,Search - Brand,596.79,12011,278,21,4
2026-06-27,Google Ads,Search - Competitor,557.8,15267,757,24,3
2026-06-27,Google Ads,Display - Retargeting,719.14,9982,475,16,3
2026-06-27,Meta Ads,FB - Lead Gen,462.51,8539,189,5,0
2026-06-27,Meta Ads,IG - Awareness,490.07,19594,281,11,2
2026-06-27,Meta Ads,FB - Retargeting,547.53,15705,261,7,1
2026-06-27,Email,Monthly Newsletter,18.3,1539,200,22,1
2026-06-27,Email,Promo Blast,18.69,3309,560,50,7
2026-06-27,Organic Social,LinkedIn Organic,0.0,20499,535,12,1
2026-06-27,Organic Social,FB Organic,0.0,15490,615,20,3
2026-06-27,LinkedIn Ads,Sponsored Content,417.17,8747,82,4,0
2026-06-27,LinkedIn Ads,InMail Campaign,809.22,16195,110,4,0
2026-06-28,Google Ads,Search - Brand,616.99,9246,492,23,6
2026-06-28,Google Ads,Search - Competitor,762.01,13210,746,45,10
2026-06-28,Google Ads,Display - Retargeting,672.71,11614,455,35,5
2026-06-28,Meta Ads,FB - Lead Gen,419.57,11179,218,14,1
2026-06-28,Meta Ads,IG - Awareness,469.49,20648,365,16,2
2026-06-28,Meta Ads,FB - Retargeting,516.64,14251,307,16,4
2026-06-28,Email,Monthly Newsletter,28.62,3162,394,31,6
2026-06-28,Email,Promo Blast,23.15,3084,467,29,6
2026-06-28,Organic Social,LinkedIn Organic,0.0,14527,250,6,1
2026-06-28,Organic Social,FB Organic,0.0,11002,296,11,2
2026-06-28,LinkedIn Ads,Sponsored Content,423.12,13532,99,3,0
2026-06-28,LinkedIn Ads,InMail Campaign,413.74,19868,207,13,2
2026-06-29,Google Ads,Search - Brand,660.56,14903,549,36,4
2026-06-29,Google Ads,Search - Competitor,778.15,13141,615,40,6
2026-06-29,Google Ads,Display - Retargeting,688.0,13100,692,24,4
2026-06-29,Meta Ads,FB - Lead Gen,692.88,10998,171,7,1
2026-06-29,Meta Ads,IG - Awareness,507.57,16956,343,18,3
2026-06-29,Meta Ads,FB - Retargeting,438.52,17690,439,16,2
2026-06-29,Email,Monthly Newsletter,31.92,2939,199,22,3
2026-06-29,Email,Promo Blast,24.43,3165,394,43,6
2026-06-29,Organic Social,LinkedIn Organic,0.0,13961,480,17,2
2026-06-29,Organic Social,FB Organic,0.0,12856,448,14,3
2026-06-29,LinkedIn Ads,Sponsored Content,424.86,13602,108,4,0
2026-06-29,LinkedIn Ads,InMail Campaign,268.17,10785,67,4,1
2026-06-30,Google Ads,Search - Brand,584.33,14324,653,52,6
2026-06-30,Google Ads,Search - Competitor,635.76,18900,935,59,13
2026-06-30,Google Ads,Display - Retargeting,194.52,17711,692,18,3
2026-06-30,Meta Ads,FB - Lead Gen,626.93,14450,309,18,4
2026-06-30,Meta Ads,IG - Awareness,658.0,17968,328,6,1
2026-06-30,Meta Ads,FB - Retargeting,368.29,23683,411,17,3
2026-06-30,Email,Monthly Newsletter,25.27,3847,404,38,5
2026-06-30,Email,Promo Blast,16.75,2694,320,25,3
2026-06-30,Organic Social,LinkedIn Organic,0.0,14667,307,11,2
2026-06-30,Organic Social,FB Organic,0.0,13763,350,11,2
2026-06-30,LinkedIn Ads,Sponsored Content,239.04,15460,119,7,1
2026-06-30,LinkedIn Ads,InMail Campaign,365.4,13723,92,6,1
2026-07-01,Google Ads,Search - Brand,885.18,14757,569,18,1
2026-07-01,Google Ads,Search - Competitor,362.38,16068,796,25,5
2026-07-01,Google Ads,Display - Retargeting,527.54,15587,927,70,11
2026-07-01,Meta Ads,FB - Lead Gen,362.69,6392,98,3,0
2026-07-01,Meta Ads,IG - Awareness,451.35,15307,263,8,1
2026-07-01,Meta Ads,FB - Retargeting,518.23,10638,245,9,1
2026-07-01,Email,Monthly Newsletter,29.43,3116,445,43,6
2026-07-01,Email,Promo Blast,27.26,2428,297,26,4
2026-07-01,Organic Social,LinkedIn Organic,0.0,7472,199,6,1
2026-07-01,Organic Social,FB Organic,0.0,20062,497,19,3
2026-07-01,LinkedIn Ads,Sponsored Content,377.3,22101,134,8,1
2026-07-01,LinkedIn Ads,InMail Campaign,374.56,20569,156,8,1
2026-07-02,Google Ads,Search - Brand,579.85,18243,951,27,6
2026-07-02,Google Ads,Search - Competitor,350.63,19130,1054,42,6
2026-07-02,Google Ads,Display - Retargeting,434.14,14140,597,44,10
2026-07-02,Meta Ads,FB - Lead Gen,629.5,12751,219,4,0
2026-07-02,Meta Ads,IG - Awareness,579.23,21462,290,9,1
2026-07-02,Meta Ads,FB - Retargeting,499.35,11761,229,7,1
2026-07-02,Email,Monthly Newsletter,28.41,3003,328,28,4
2026-07-02,Email,Promo Blast,22.69,2870,454,47,7
2026-07-02,Organic Social,LinkedIn Organic,0.0,13664,506,16,2
2026-07-02,Organic Social,FB Organic,0.0,8716,202,3,0
2026-07-02,LinkedIn Ads,Sponsored Content,644.91,23925,215,12,1
2026-07-02,LinkedIn Ads,InMail Campaign,388.95,11848,83,3,0
2026-07-03,Google Ads,Search - Brand,303.11,17991,635,40,11
2026-07-03,Google Ads,Search - Competitor,462.09,4878,206,16,4
2026-07-03,Google Ads,Display - Retargeting,415.57,16986,693,40,12
2026-07-03,Meta Ads,FB - Lead Gen,291.32,16014,315,16,2
2026-07-03,Meta Ads,IG - Awareness,502.61,13433,254,9,1
2026-07-03,Meta Ads,FB - Retargeting,423.55,16508,295,15,2
2026-07-03,Email,Monthly Newsletter,13.92,3630,356,25,3
2026-07-03,Email,Promo Blast,33.59,1932,377,44,8
2026-07-03,Organic Social,LinkedIn Organic,0.0,16142,534,19,3
2026-07-03,Organic Social,FB Organic,0.0,14210,413,11,2
2026-07-03,LinkedIn Ads,Sponsored Content,516.78,3238,29,1,0
2026-07-03,LinkedIn Ads,InMail Campaign,406.29,19496,185,7,1
2026-07-04,Google Ads,Search - Brand,454.25,9481,373,28,6
2026-07-04,Google Ads,Search - Competitor,676.96,17900,888,43,8
2026-07-04,Google Ads,Display - Retargeting,720.06,18017,1003,72,14
2026-07-04,Meta Ads,FB - Lead Gen,591.52,14893,220,8,1
